word1,word2,direction
documentation,confirmation,hyponym_to_hypernym
slicing,cut,hyponym_to_hypernym
twaddler,communicator,hyponym_to_hypernym
veil,garment,hyponym_to_hypernym
quota,allotment,hyponym_to_hypernym
hypotensive,patient,hyponym_to_hypernym
verse,poem,hyponym_to_hypernym
hotspot,spot,hyponym_to_hypernym
neoconservatism,conservatism,hyponym_to_hypernym
twofer,offer,hyponym_to_hypernym
disruption,disturbance,hyponym_to_hypernym
diver,explorer,hyponym_to_hypernym
gratuity,prize,hyponym_to_hypernym
tarriance,delay,hyponym_to_hypernym
rocket,herb,hyponym_to_hypernym
chieftaincy,position,hyponym_to_hypernym
whiting,sciaenid,hyponym_to_hypernym
trestlework,structure,hyponym_to_hypernym
cliff,formation,hyponym_to_hypernym
strain,effort,hyponym_to_hypernym
heterocyclic,compound,hyponym_to_hypernym
upturn,improvement,hyponym_to_hypernym
particulate,material,hyponym_to_hypernym
buying,purchase,hyponym_to_hypernym
hazel,tree,hyponym_to_hypernym
cowage,pod,hyponym_to_hypernym
weeper,unfortunate,hyponym_to_hypernym
colugo,placental,hyponym_to_hypernym
sergeant,lawman,hyponym_to_hypernym
badgering,harassment,hyponym_to_hypernym
dramatization,writing,hyponym_to_hypernym
one,unit,hyponym_to_hypernym
sericulture,production,hyponym_to_hypernym
bombing,attack,hyponym_to_hypernym
passage,journey,hyponym_to_hypernym
shipway,canal,hyponym_to_hypernym
kino,tree,hyponym_to_hypernym
smuttiness,dirtiness,hyponym_to_hypernym
phonetician,linguist,hyponym_to_hypernym
basket,score,hyponym_to_hypernym
trailer,conveyance,hyponym_to_hypernym
actinoid,group,hyponym_to_hypernym
end,extremity,hyponym_to_hypernym
onychophoran,arthropod,hyponym_to_hypernym
rigging,gear,hyponym_to_hypernym
abecedarian,novice,hyponym_to_hypernym
analogue,similarity,hyponym_to_hypernym
xerostomia,dryness,hyponym_to_hypernym
lifesaver,preserver,hyponym_to_hypernym
stupefaction,astonishment,hyponym_to_hypernym
wristwatch,watch,hyponym_to_hypernym
orzo,pasta,hyponym_to_hypernym
contractor,organ,hyponym_to_hypernym
oriole,oscine,hyponym_to_hypernym
bangle,adornment,hyponym_to_hypernym
linkage,inheritance,hyponym_to_hypernym
bulletin,report,hyponym_to_hypernym
chokehold,clasp,hyponym_to_hypernym
underpants,undergarment,hyponym_to_hypernym
moneymaker,capitalist,hyponym_to_hypernym
precursor,material,hyponym_to_hypernym
treatment,care,hyponym_to_hypernym
fire,trial,hyponym_to_hypernym
rubidium,metal,hyponym_to_hypernym
spinney,brush,hyponym_to_hypernym
stepchild,child,hyponym_to_hypernym
pretension,artificiality,hyponym_to_hypernym
lesson,teaching,hyponym_to_hypernym
fescue,grass,hyponym_to_hypernym
submersible,apparatus,hyponym_to_hypernym
leftovers,food,hyponym_to_hypernym
waterproofing,protection,hyponym_to_hypernym
devisor,testator,hyponym_to_hypernym
stir,disturbance,hyponym_to_hypernym
sorghum,syrup,hyponym_to_hypernym
agaric,basidiomycete,hyponym_to_hypernym
insert,artifact,hyponym_to_hypernym
equivalent,cognition,hyponym_to_hypernym
gang,tool,hyponym_to_hypernym
statistician,calculator,hyponym_to_hypernym
drill,baboon,hyponym_to_hypernym
relinquishment,renunciation,hyponym_to_hypernym
repulsion,force,hyponym_to_hypernym
stonewaller,obstructionist,hyponym_to_hypernym
prodigy,exemplar,hyponym_to_hypernym
algidity,collapse,hyponym_to_hypernym
butterfish,percoid,hyponym_to_hypernym
glycogen,polysaccharide,hyponym_to_hypernym
frontier,wilderness,hyponym_to_hypernym
plat,map,hyponym_to_hypernym
vicuna,fabric,hyponym_to_hypernym
account,statement,hyponym_to_hypernym
cheapjack,peddler,hyponym_to_hypernym
cleat,fastener,hyponym_to_hypernym
impression,imprint,hyponym_to_hypernym
nasalization,articulation,hyponym_to_hypernym
story,fiction,hyponym_to_hypernym
fesse,ordinary,hyponym_to_hypernym
installment,text,hyponym_to_hypernym
alchemy,pseudoscience,hyponym_to_hypernym
company,institution,hyponym_to_hypernym
hotness,spiciness,hyponym_to_hypernym
sumac,shrub,hyponym_to_hypernym
honorableness,righteousness,hyponym_to_hypernym
pull,force,hyponym_to_hypernym
sluicegate,regulator,hyponym_to_hypernym
electroretinogram,graph,hyponym_to_hypernym
potato,vine,hyponym_to_hypernym
charity,giving,hyponym_to_hypernym
skidder,person,hyponym_to_hypernym
stone,coldness,hyponym_to_hypernym
tearjerker,narrative,hyponym_to_hypernym
numeration,naming,hyponym_to_hypernym
bread,starches,hyponym_to_hypernym
venture,business,hyponym_to_hypernym
weld,joint,hyponym_to_hypernym
hypodermic,syringe,hyponym_to_hypernym
fly,hit,hyponym_to_hypernym
grevillea,shrub,hyponym_to_hypernym
point,end,hyponym_to_hypernym
bergamot,orange,hyponym_to_hypernym
family,taxon,hyponym_to_hypernym
count,noble,hyponym_to_hypernym
roe,egg,hyponym_to_hypernym
exorcism,supernaturalism,hyponym_to_hypernym
chicken,fowl,hyponym_to_hypernym
deviation,statistic,hyponym_to_hypernym
nun,buoy,hyponym_to_hypernym
obligation,state,hyponym_to_hypernym
salwar,trouser,hyponym_to_hypernym
deliberation,discussion,hyponym_to_hypernym
syndication,organization,hyponym_to_hypernym
struggler,person,hyponym_to_hypernym
entomologist,zoologist,hyponym_to_hypernym
communications,discipline,hyponym_to_hypernym
creole,tongue,hyponym_to_hypernym
fueling,provision,hyponym_to_hypernym
tripod,rack,hyponym_to_hypernym
lurch,motion,hyponym_to_hypernym
ranger,official,hyponym_to_hypernym
canteen,flask,hyponym_to_hypernym
self,person,hyponym_to_hypernym
pronation,rotation,hyponym_to_hypernym
marseille,fabric,hyponym_to_hypernym
mericarp,carpel,hyponym_to_hypernym
rest,support,hyponym_to_hypernym
constituent,syntagma,hyponym_to_hypernym
thorite,mineral,hyponym_to_hypernym
roe,seafood,hyponym_to_hypernym
parts,environment,hyponym_to_hypernym
celeriac,herb,hyponym_to_hypernym
maneuverer,planner,hyponym_to_hypernym
plate,entree,hyponym_to_hypernym
arability,quality,hyponym_to_hypernym
halloo,cry,hyponym_to_hypernym
leaflet,leaf,hyponym_to_hypernym
turret,tower,hyponym_to_hypernym
teaspoon,containerful,hyponym_to_hypernym
sanatorium,hospital,hyponym_to_hypernym
whole,concept,hyponym_to_hypernym
palometa,butterfish,hyponym_to_hypernym
lopsidedness,asymmetry,hyponym_to_hypernym
utmost,limit,hyponym_to_hypernym
approbation,approval,hyponym_to_hypernym
bluefish,percoid,hyponym_to_hypernym
idolater,heathen,hyponym_to_hypernym
hiker,pedestrian,hyponym_to_hypernym
keelson,beam,hyponym_to_hypernym
nasal,consonant,hyponym_to_hypernym
eggbeater,beater,hyponym_to_hypernym
charlotte,dessert,hyponym_to_hypernym
groupware,software,hyponym_to_hypernym
foreignness,quality,hyponym_to_hypernym
adenoidectomy,ablation,hyponym_to_hypernym
fourth,rank,hyponym_to_hypernym
junta,clique,hyponym_to_hypernym
bloomer,flower,hyponym_to_hypernym
coven,assembly,hyponym_to_hypernym
melatonin,hormone,hyponym_to_hypernym
accessory,component,hyponym_to_hypernym
bulkhead,partition,hyponym_to_hypernym
turbulence,inclemency,hyponym_to_hypernym
adaptability,ability,hyponym_to_hypernym
bay,horse,hyponym_to_hypernym
mortise,hole,hyponym_to_hypernym
mutism,condition,hyponym_to_hypernym
docent,teacher,hyponym_to_hypernym
warning,informing,hyponym_to_hypernym
chef,cook,hyponym_to_hypernym
alb,vestment,hyponym_to_hypernym
pyxidium,fruit,hyponym_to_hypernym
male,person,hyponym_to_hypernym
divorce,separation,hyponym_to_hypernym
thrombocytosis,symptom,hyponym_to_hypernym
weekender,vacationer,hyponym_to_hypernym
aphaeresis,omission,hyponym_to_hypernym
murmur,symptom,hyponym_to_hypernym
leper,outcast,hyponym_to_hypernym
time,reading,hyponym_to_hypernym
papyrus,sedge,hyponym_to_hypernym
strength,prosperity,hyponym_to_hypernym
valence,power,hyponym_to_hypernym
dithyramb,address,hyponym_to_hypernym
milieu,environment,hyponym_to_hypernym
engagement,contact,hyponym_to_hypernym
ranger,fireman,hyponym_to_hypernym
agent,cause,hyponym_to_hypernym
reconstruction,interpretation,hyponym_to_hypernym
sandalwood,wood,hyponym_to_hypernym
grid,facility,hyponym_to_hypernym
birthday,date,hyponym_to_hypernym
bullbrier,vine,hyponym_to_hypernym
object,computing,hyponym_to_hypernym
puccoon,herb,hyponym_to_hypernym
pitting,corrosion,hyponym_to_hypernym
clianthus,shrub,hyponym_to_hypernym
bauxite,mineral,hyponym_to_hypernym
repertory,collection,hyponym_to_hypernym
albacore,tuna,hyponym_to_hypernym
affinity,kinship,hyponym_to_hypernym
ozonide,compound,hyponym_to_hypernym
blackcap,gull,hyponym_to_hypernym
beastliness,malevolence,hyponym_to_hypernym
repudiation,rejection,hyponym_to_hypernym
sandbagger,deceiver,hyponym_to_hypernym
sludge,precipitate,hyponym_to_hypernym
domestication,adjustment,hyponym_to_hypernym
jitter,noise,hyponym_to_hypernym
rosary,beads,hyponym_to_hypernym
honker,goose,hyponym_to_hypernym
stenopterygius,ichthyosaur,hyponym_to_hypernym
campfire,fire,hyponym_to_hypernym
headshot,photograph,hyponym_to_hypernym
generalization,idea,hyponym_to_hypernym
loin,cut,hyponym_to_hypernym
occasion,time,hyponym_to_hypernym
letterpress,printing,hyponym_to_hypernym
holotype,model,hyponym_to_hypernym
capitulum,crown,hyponym_to_hypernym
hemerobiid,lacewing,hyponym_to_hypernym
lysogeny,condition,hyponym_to_hypernym
issue,provision,hyponym_to_hypernym
abetalipoproteinemia,lipidosis,hyponym_to_hypernym
waffler,communicator,hyponym_to_hypernym
smut,fungus,hyponym_to_hypernym
radiogram,photograph,hyponym_to_hypernym
simal,tree,hyponym_to_hypernym
sforzando,chord,hyponym_to_hypernym
fanaticism,intolerance,hyponym_to_hypernym
eggbeater,mixer,hyponym_to_hypernym
etiquette,rule,hyponym_to_hypernym
picture,situation,hyponym_to_hypernym
circumcision,abscission,hyponym_to_hypernym
past,time,hyponym_to_hypernym
wrinkle,depression,hyponym_to_hypernym
fret,spot,hyponym_to_hypernym
culvert,drain,hyponym_to_hypernym
homozygote,zygote,hyponym_to_hypernym
sertularian,hydrozoan,hyponym_to_hypernym
inversion,abnormality,hyponym_to_hypernym
footboard,panel,hyponym_to_hypernym
proficiency,competence,hyponym_to_hypernym
nationalism,doctrine,hyponym_to_hypernym
squirter,plaything,hyponym_to_hypernym
clubroom,room,hyponym_to_hypernym
yogi,philosopher,hyponym_to_hypernym
argentinosaur,dinosaur,hyponym_to_hypernym
place,vicinity,hyponym_to_hypernym
dancer,person,hyponym_to_hypernym
pluralist,cleric,hyponym_to_hypernym
ornithology,zoology,hyponym_to_hypernym
baccarat,cards,hyponym_to_hypernym
interdiction,prohibition,hyponym_to_hypernym
bluffer,deceiver,hyponym_to_hypernym
legitimation,act,hyponym_to_hypernym
pachinko,pinball,hyponym_to_hypernym
conveyance,transmission,hyponym_to_hypernym
wound,distress,hyponym_to_hypernym
pinprick,irritation,hyponym_to_hypernym
bridle,restraint,hyponym_to_hypernym
fingering,touch,hyponym_to_hypernym
acetophenetidin,analgesic,hyponym_to_hypernym
diamond,tract,hyponym_to_hypernym
generality,quality,hyponym_to_hypernym
cannon,gun,hyponym_to_hypernym
orthoepist,phonologist,hyponym_to_hypernym
telerobotics,robotics,hyponym_to_hypernym
ballplayer,athlete,hyponym_to_hypernym
indecorum,impropriety,hyponym_to_hypernym
stork,wader,hyponym_to_hypernym
bonefish,malacopterygian,hyponym_to_hypernym
classroom,room,hyponym_to_hypernym
handiness,convenience,hyponym_to_hypernym
millenary,thousand,hyponym_to_hypernym
metaphysis,process,hyponym_to_hypernym
aspersorium,basin,hyponym_to_hypernym
decile,mark,hyponym_to_hypernym
gamekeeper,custodian,hyponym_to_hypernym
deletion,editing,hyponym_to_hypernym
vane,fin,hyponym_to_hypernym
trigger,causing,hyponym_to_hypernym
shoetree,device,hyponym_to_hypernym
birdseed,feed,hyponym_to_hypernym
calisaya,cinchona,hyponym_to_hypernym
adsorbent,sorbent,hyponym_to_hypernym
jammer,transmitter,hyponym_to_hypernym
doge,judge,hyponym_to_hypernym
colored,blackamoor,hyponym_to_hypernym
plonk,noise,hyponym_to_hypernym
crampon,spike,hyponym_to_hypernym
reason,fact,hyponym_to_hypernym
hatband,band,hyponym_to_hypernym
episteme,cognition,hyponym_to_hypernym
footwork,maneuver,hyponym_to_hypernym
disapproval,dislike,hyponym_to_hypernym
appendage,part,hyponym_to_hypernym
grassfire,fire,hyponym_to_hypernym
saffron,crocus,hyponym_to_hypernym
hellfire,perdition,hyponym_to_hypernym
sincerity,naturalness,hyponym_to_hypernym
footwall,wall,hyponym_to_hypernym
incubation,care,hyponym_to_hypernym
deuce,tie,hyponym_to_hypernym
mortgagee,holder,hyponym_to_hypernym
dolphinfish,percoid,hyponym_to_hypernym
kingdom,domain,hyponym_to_hypernym
tandoor,oven,hyponym_to_hypernym
seesaw,plaything,hyponym_to_hypernym
grassfinch,weaver,hyponym_to_hypernym
insistence,demand,hyponym_to_hypernym
ending,happening,hyponym_to_hypernym
caller,leader,hyponym_to_hypernym
tectonics,morphology,hyponym_to_hypernym
scenery,vicinity,hyponym_to_hypernym
fatherland,country,hyponym_to_hypernym
panpipe,pipe,hyponym_to_hypernym
synecdoche,trope,hyponym_to_hypernym
lie,falsehood,hyponym_to_hypernym
declension,inflection,hyponym_to_hypernym
doodad,stuff,hyponym_to_hypernym
tremolite,asbestos,hyponym_to_hypernym
accusation,assertion,hyponym_to_hypernym
picador,bullfighter,hyponym_to_hypernym
heather,color,hyponym_to_hypernym
scheduler,hardware,hyponym_to_hypernym
side,aspect,hyponym_to_hypernym
misspelling,spelling,hyponym_to_hypernym
zap,event,hyponym_to_hypernym
stockholding,property,hyponym_to_hypernym
pentimento,painting,hyponym_to_hypernym
sweater,garment,hyponym_to_hypernym
variation,change,hyponym_to_hypernym
slopshop,haberdashery,hyponym_to_hypernym
mirror,depicting,hyponym_to_hypernym
socialization,meeting,hyponym_to_hypernym
dampener,device,hyponym_to_hypernym
glossoptosis,prolapse,hyponym_to_hypernym
napu,chevrotain,hyponym_to_hypernym
slab,block,hyponym_to_hypernym
sensationalist,publicist,hyponym_to_hypernym
pellucidness,transparency,hyponym_to_hypernym
bookworm,reader,hyponym_to_hypernym
ass,equine,hyponym_to_hypernym
dura,meninx,hyponym_to_hypernym
scolopendrium,fern,hyponym_to_hypernym
villeinage,servitude,hyponym_to_hypernym
mouth,rima,hyponym_to_hypernym
masculine,gender,hyponym_to_hypernym
chyme,food,hyponym_to_hypernym
cyanosis,symptom,hyponym_to_hypernym
barratry,crime,hyponym_to_hypernym
presentism,doctrine,hyponym_to_hypernym
saleratus,bicarbonate,hyponym_to_hypernym
quattrocento,century,hyponym_to_hypernym
carminative,medicine,hyponym_to_hypernym
praseodymium,metal,hyponym_to_hypernym
pluralist,philosopher,hyponym_to_hypernym
filicide,parent,hyponym_to_hypernym
electrocautery,thermocautery,hyponym_to_hypernym
sawm,abstinence,hyponym_to_hypernym
welterweight,prizefighter,hyponym_to_hypernym
incompetence,inability,hyponym_to_hypernym
crappie,sunfish,hyponym_to_hypernym
vermin,pest,hyponym_to_hypernym
liposarcoma,sarcoma,hyponym_to_hypernym
workbasket,container,hyponym_to_hypernym
naphthalene,hydrocarbon,hyponym_to_hypernym
cordage,rope,hyponym_to_hypernym
rancidness,smell,hyponym_to_hypernym
post,delivery,hyponym_to_hypernym
envoy,stanza,hyponym_to_hypernym
grate,noise,hyponym_to_hypernym
facetiousness,playfulness,hyponym_to_hypernym
pemmican,meat,hyponym_to_hypernym
flagellant,penitent,hyponym_to_hypernym
pogonia,orchid,hyponym_to_hypernym
mention,award,hyponym_to_hypernym
tideland,seashore,hyponym_to_hypernym
thunderer,noisemaker,hyponym_to_hypernym
slip,mistake,hyponym_to_hypernym
mudskipper,goby,hyponym_to_hypernym
casket,box,hyponym_to_hypernym
elbowing,jostle,hyponym_to_hypernym
googolplex,cardinal,hyponym_to_hypernym
sponge,learner,hyponym_to_hypernym
undernourishment,hunger,hyponym_to_hypernym
fragility,vulnerability,hyponym_to_hypernym
immunocompetence,ability,hyponym_to_hypernym
maid,domestic,hyponym_to_hypernym
heterogeneity,nonuniformity,hyponym_to_hypernym
call,visit,hyponym_to_hypernym
hiatus,piece,hyponym_to_hypernym
sensualist,person,hyponym_to_hypernym
classifier,thinker,hyponym_to_hypernym
headpiece,helmet,hyponym_to_hypernym
burning,torture,hyponym_to_hypernym
front,deceiver,hyponym_to_hypernym
alexia,aphasia,hyponym_to_hypernym
transferase,enzyme,hyponym_to_hypernym
peradventure,doubt,hyponym_to_hypernym
wormwood,subshrub,hyponym_to_hypernym
bulge,projection,hyponym_to_hypernym
hypertonia,tonicity,hyponym_to_hypernym
point,taper,hyponym_to_hypernym
snowboard,board,hyponym_to_hypernym
temperance,combination,hyponym_to_hypernym
scaffold,platform,hyponym_to_hypernym
tobacconist,shopkeeper,hyponym_to_hypernym
doughnut,friedcake,hyponym_to_hypernym
immunogenicity,immunity,hyponym_to_hypernym
arrangement,group,hyponym_to_hypernym
contingent,force,hyponym_to_hypernym
posology,pharmacology,hyponym_to_hypernym
dinky,locomotive,hyponym_to_hypernym
tetrodotoxin,neurotoxin,hyponym_to_hypernym
suspension,debarment,hyponym_to_hypernym
outfielder,fielder,hyponym_to_hypernym
canvas,mat,hyponym_to_hypernym
diamond,carbon,hyponym_to_hypernym
luging,tobogganing,hyponym_to_hypernym
ptarmigan,grouse,hyponym_to_hypernym
text,matter,hyponym_to_hypernym
run,period,hyponym_to_hypernym
squib,firework,hyponym_to_hypernym
separatist,advocate,hyponym_to_hypernym
landslide,victory,hyponym_to_hypernym
bill,list,hyponym_to_hypernym
rurality,characteristic,hyponym_to_hypernym
puppeteer,performer,hyponym_to_hypernym
chlamydospore,spore,hyponym_to_hypernym
girth,circumference,hyponym_to_hypernym
conditioner,softener,hyponym_to_hypernym
tentorium,fold,hyponym_to_hypernym
dermatologist,specialist,hyponym_to_hypernym
score,reason,hyponym_to_hypernym
book,collection,hyponym_to_hypernym
shtik,business,hyponym_to_hypernym
tithe,offering,hyponym_to_hypernym
compensation,defense,hyponym_to_hypernym
monomaniac,sufferer,hyponym_to_hypernym
nosiness,curiousness,hyponym_to_hypernym
zizz,sound,hyponym_to_hypernym
bullhorn,loudspeaker,hyponym_to_hypernym
part,tune,hyponym_to_hypernym
processing,process,hyponym_to_hypernym
epos,poetry,hyponym_to_hypernym
gig,tender,hyponym_to_hypernym
jug,containerful,hyponym_to_hypernym
showstopper,attraction,hyponym_to_hypernym
watchdog,defender,hyponym_to_hypernym
incident,disturbance,hyponym_to_hypernym
sprinter,runner,hyponym_to_hypernym
perfumery,shop,hyponym_to_hypernym
shadflower,draba,hyponym_to_hypernym
place,passage,hyponym_to_hypernym
discretion,liberty,hyponym_to_hypernym
alterability,mutability,hyponym_to_hypernym
frail,weight,hyponym_to_hypernym
victimization,adversity,hyponym_to_hypernym
echo,reflection,hyponym_to_hypernym
adenine,purine,hyponym_to_hypernym
distaff,sphere,hyponym_to_hypernym
amygdalin,glucoside,hyponym_to_hypernym
portulaca,flower,hyponym_to_hypernym
impression,press,hyponym_to_hypernym
telephotograph,photograph,hyponym_to_hypernym
rebutter,pleading,hyponym_to_hypernym
embezzlement,larceny,hyponym_to_hypernym
sweep,run,hyponym_to_hypernym
celom,cavity,hyponym_to_hypernym
controversy,dispute,hyponym_to_hypernym
inhaler,dispenser,hyponym_to_hypernym
countershot,shooting,hyponym_to_hypernym
leptocephalus,larva,hyponym_to_hypernym
suicide,killing,hyponym_to_hypernym
patriotism,loyalty,hyponym_to_hypernym
isometrics,exercise,hyponym_to_hypernym
ripcord,cord,hyponym_to_hypernym
get,return,hyponym_to_hypernym
price,value,hyponym_to_hypernym
roomette,compartment,hyponym_to_hypernym
woodcutter,laborer,hyponym_to_hypernym
theorist,intellectual,hyponym_to_hypernym
persuasiveness,power,hyponym_to_hypernym
licenser,official,hyponym_to_hypernym
aggressor,instigator,hyponym_to_hypernym
squeeze,press,hyponym_to_hypernym
hop,jump,hyponym_to_hypernym
serve,move,hyponym_to_hypernym
shade,paint,hyponym_to_hypernym
fare,proceed,hyponym_to_hypernym
state,express,hyponym_to_hypernym
empty,remove,hyponym_to_hypernym
unfold,undo,hyponym_to_hypernym
apply,give,hyponym_to_hypernym
purl,embroider,hyponym_to_hypernym
ply,travel,hyponym_to_hypernym
sit,serve,hyponym_to_hypernym
overstay,bide,hyponym_to_hypernym
crawl,travel,hyponym_to_hypernym
persevere,continue,hyponym_to_hypernym
spill,reduce,hyponym_to_hypernym
dabble,play,hyponym_to_hypernym
impress,dye,hyponym_to_hypernym
bang,travel,hyponym_to_hypernym
stool,excrete,hyponym_to_hypernym
handle,touch,hyponym_to_hypernym
weld,unite,hyponym_to_hypernym
subvocalize,pronounce,hyponym_to_hypernym
remake,produce,hyponym_to_hypernym
transit,roll,hyponym_to_hypernym
job,work,hyponym_to_hypernym
nettle,bite,hyponym_to_hypernym
miscalculate,calculate,hyponym_to_hypernym
clink,sound,hyponym_to_hypernym
carry,sustain,hyponym_to_hypernym
check,draw,hyponym_to_hypernym
drape,cover,hyponym_to_hypernym
nark,inform,hyponym_to_hypernym
pry,ask,hyponym_to_hypernym
shy,startle,hyponym_to_hypernym
vroom,roar,hyponym_to_hypernym
proportion,adjust,hyponym_to_hypernym
rumpus,agitate,hyponym_to_hypernym
dig,thrust,hyponym_to_hypernym
forge,beat,hyponym_to_hypernym
